Sample_Path,Cluster
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_148.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_695.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_139.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_837.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_248.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_975.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_438.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_396.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_4.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_145.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_525.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_628.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_983.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_833.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_990.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_47.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_496.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_437.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_296.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_635.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_33.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_29.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_377.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_22.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_88.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_300.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_510.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_988.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_962.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_57.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_185.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_407.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_855.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_302.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_186.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_489.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_865.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_574.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_133.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_23.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_831.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_742.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_288.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_696.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_811.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_969.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_528.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_682.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_816.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_595.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_103.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_277.png,1
